Start date,End date,Min SYM-H,Classification
2002-08-16 05:20:00,2002-08-26 05:20:00,-119,Low
2002-11-16 10:10:00,2002-11-26 10:10:00,-126,Low
2003-04-26 00:50:00,2003-05-06 00:50:00,-93,Low
2003-07-07 05:35:00,2003-07-17 05:35:00,-125,Low
2003-10-09 23:00:00,2003-10-19 23:00:00,-102,Low
2004-02-06 17:10:00,2004-02-16 17:10:00,-107,Low
2004-03-05 05:30:00,2004-03-15 05:30:00,-101,Low
2004-08-25 22:50:00,2004-09-04 22:50:00,-128,Low
2005-01-03 00:05:00,2005-01-13 00:05:00,-108,Low
2005-02-13 01:55:00,2005-02-23 01:55:00,-95,Low
2005-03-31 02:35:00,2005-04-10 02:35:00,-93,Low
2005-06-08 00:35:00,2005-06-18 00:35:00,-112,Low
2005-07-05 20:10:00,2005-07-15 20:10:00,-113,Low
2006-04-09 09:20:00,2006-04-19 09:20:00,-110,Low
2006-08-15 01:05:00,2006-08-25 01:05:00,-94,Low
2008-03-04 05:30:00,2008-03-14 05:30:00,-99,Low
2009-07-17 05:55:00,2009-07-27 05:55:00,-93,Low
2011-03-06 05:20:00,2011-03-16 05:20:00,-92,Low
2011-05-23 11:10:00,2011-06-02 11:10:00,-93,Low
2011-08-01 03:20:00,2011-08-11 03:20:00,-126,Low
2011-09-21 22:35:00,2011-10-01 22:35:00,-111,Low
2012-04-19 03:25:00,2012-04-29 03:25:00,-125,Low
2012-07-10 10:00:00,2012-07-20 10:00:00,-122,Low
2012-11-09 07:25:00,2012-11-19 07:25:00,-117,Low
2013-06-24 06:30:00,2013-07-04 06:30:00,-110,Low
2014-02-14 08:20:00,2014-02-24 08:20:00,-125,Low
2014-04-07 08:25:00,2014-04-17 08:25:00,-91,Low
2014-09-07 23:05:00,2014-09-17 23:05:00,-95,Low
2015-05-08 06:45:00,2015-05-18 06:45:00,-95,Low
2015-06-03 07:45:00,2015-06-13 07:45:00,-104,Low
2015-08-11 07:30:00,2015-08-21 07:30:00,-93,Low
2015-08-22 20:30:00,2015-09-01 20:30:00,-100,Low
2015-09-04 08:00:00,2015-09-14 08:00:00,-110,Low
2015-10-02 22:25:00,2015-10-12 22:25:00,-124,Low
2015-11-02 06:05:00,2015-11-12 06:05:00,-106,Low
2015-12-27 01:05:00,2016-01-06 01:05:00,-117,Low
2016-01-15 17:05:00,2016-01-25 17:05:00,-95,Low
2016-03-01 21:20:00,2016-03-11 21:20:00,-109,Low
2016-05-03 08:15:00,2016-05-13 08:15:00,-103,Low
2016-10-08 23:45:00,2016-10-18 23:45:00,-114,Low
2021-10-30 12:40:00,2021-11-09 12:40:00,-117,Low
2022-01-09 22:15:00,2022-01-19 22:15:00,-100,Low
2022-03-08 23:35:00,2022-03-18 23:35:00,-113,Low
2022-11-02 17:20:00,2022-11-12 17:20:00,-116,Low
1981-02-02 01:05:00,1981-02-12 01:05:00,-153,Moderate
1981-05-06 03:45:00,1981-05-16 03:45:00,-140,Moderate
1981-10-15 19:35:00,1981-10-25 19:35:00,-215,Moderate
1981-11-07 06:40:00,1981-11-17 06:40:00,-132,Moderate
1982-04-05 19:35:00,1982-04-15 19:35:00,-165,Moderate
1982-08-02 07:10:00,1982-08-12 07:10:00,-176,Moderate
1982-09-17 07:20:00,1982-09-27 07:20:00,-222,Moderate
1982-11-19 17:05:00,1982-11-29 17:05:00,-223,Moderate
1983-01-05 05:45:00,1983-01-15 05:45:00,-221,Moderate
1983-01-30 18:50:00,1983-02-09 18:50:00,-202,Moderate
1983-02-25 07:20:00,1983-03-07 07:20:00,-211,Moderate
1983-05-19 18:25:00,1983-05-29 18:25:00,-131,Moderate
1983-06-08 08:05:00,1983-06-18 08:05:00,-133,Moderate
1983-08-03 06:35:00,1983-08-13 06:35:00,-154,Moderate
1984-07-27 06:50:00,1984-08-06 06:50:00,-144,Moderate
1984-08-31 06:50:00,1984-09-10 06:50:00,-135,Moderate
1984-11-11 07:25:00,1984-11-21 07:25:00,-155,Moderate
1985-04-16 08:20:00,1985-04-26 08:20:00,-215,Moderate
1985-11-25 01:30:00,1985-12-05 01:30:00,-171,Moderate
1986-09-07 04:55:00,1986-09-17 04:55:00,-226,Moderate
1988-01-10 04:05:00,1988-01-20 04:05:00,-171,Moderate
1988-02-17 16:30:00,1988-02-27 16:30:00,-146,Moderate
1988-03-21 22:00:00,1988-03-31 22:00:00,-171,Moderate
1988-05-01 10:50:00,1988-05-11 10:50:00,-199,Moderate
1988-10-05 12:50:00,1988-10-15 12:50:00,-176,Moderate
1989-01-06 19:10:00,1989-01-16 19:10:00,-146,Moderate
1989-04-21 05:50:00,1989-05-01 05:50:00,-159,Moderate
1989-06-05 15:50:00,1989-06-15 15:50:00,-138,Moderate
1989-08-24 04:40:00,1989-09-03 04:40:00,-185,Moderate
1990-03-25 11:25:00,1990-04-04 11:25:00,-191,Moderate
1990-06-08 03:20:00,1990-06-18 03:20:00,-160,Moderate
1990-07-24 07:35:00,1990-08-03 07:35:00,-163,Moderate
1990-10-05 08:15:00,1990-10-15 08:15:00,-164,Moderate
1990-11-22 21:10:00,1990-12-02 21:10:00,-157,Moderate
1991-05-31 16:55:00,1991-06-10 16:55:00,-227,Moderate
1991-08-14 08:05:00,1991-08-24 08:05:00,-166,Moderate
1991-09-26 23:10:00,1991-10-06 23:10:00,-176,Moderate
1992-02-04 08:30:00,1992-02-14 08:30:00,-217,Moderate
1992-02-16 07:55:00,1992-02-26 07:55:00,-216,Moderate
1992-08-18 02:50:00,1992-08-28 02:50:00,-148,Moderate
1992-09-12 08:55:00,1992-09-22 08:55:00,-170,Moderate
1992-09-24 06:50:00,1992-10-04 06:50:00,-134,Moderate
1993-03-04 06:10:00,1993-03-14 06:10:00,-145,Moderate
1993-03-31 06:25:00,1993-04-10 06:25:00,-191,Moderate
1993-09-08 05:35:00,1993-09-18 05:35:00,-189,Moderate
1994-02-17 03:40:00,1994-02-27 03:40:00,-150,Moderate
1995-04-02 16:25:00,1995-04-12 16:25:00,-160,Moderate
1997-10-06 02:55:00,1997-10-16 02:55:00,-139,Moderate
