Start date,End date,TD,Min SYM-H,classification
1993-05-06,1993-05-15,9 days,-120,LOW
1993-08-15,1993-08-22,7 days,-93,LOW
1993-09-11,1993-09-18,7 days,-189,MODERATE
1993-10-07,1993-10-14,7 days,-104,LOW
1993-11-02,1993-11-09,7 days,-127,LOW
1993-11-30,1993-12-13,13 days,-114,LOW
1994-02-04,1994-02-11,7 days,-116,LOW
1994-02-19,1994-02-27,8 days,-150,MODERATE
1994-03-05,1994-03-12,7 days,-104,LOW
1994-03-31,1994-04-09,9 days,-128,LOW
1994-04-15,1994-04-22,7 days,-281,INTENSE
1994-10-01,1994-10-08,7 days,-110,LOW
1994-10-27,1994-11-04,8 days,-119,LOW
1994-11-24,1994-12-01,7 days,-115,LOW
1995-01-16,1995-01-23,7 days,-105,LOW
1995-02-06,1995-02-13,7 days,-93,LOW
1995-03-02,1995-03-09,7 days,-92,LOW
1995-03-24,1995-03-31,7 days,-99,LOW
1995-04-05,1995-04-13,8 days,-160,MODERATE
1995-05-14,1995-05-21,7 days,-92,LOW
1995-09-25,1995-10-09,14 days,-113,LOW
1995-10-16,1995-10-24,8 days,-124,LOW
1996-10-21,1996-10-28,7 days,-122,LOW
1997-04-09,1997-04-16,7 days,-91,LOW
1997-04-19,1997-04-27,8 days,-100,LOW
1997-05-13,1997-05-20,7 days,-128,LOW
1997-09-01,1997-09-08,7 days,-99,LOW
1997-09-29,1997-10-06,7 days,-100,LOW
1997-10-08,1997-10-16,8 days,-139,MODERATE
1997-11-05,1997-11-12,7 days,-123,LOW
1997-11-21,1997-11-28,7 days,-121,LOW
1998-02-15,1998-02-23,8 days,-119,LOW
1998-03-08,1998-03-16,8 days,-119,LOW
1998-05-02,1998-05-10,8 days,-268,INTENSE
1998-06-24,1998-07-01,7 days,-120,LOW
1998-08-04,1998-08-12,8 days,-168,MODERATE
1998-08-25,1998-09-01,7 days,-171,MODERATE
1998-09-23,1998-09-30,7 days,-213,MODERATE
1998-10-17,1998-10-24,7 days,-120,LOW
1998-11-06,1998-11-19,13 days,-179,MODERATE
1999-01-11,1999-01-19,8 days,-111,LOW
1999-02-16,1999-02-24,8 days,-127,LOW
1999-02-27,1999-03-06,7 days,-93,LOW
1999-04-15,1999-04-22,7 days,-122,LOW
1999-09-20,1999-09-28,8 days,-160,MODERATE
1999-10-20,1999-10-27,7 days,-218,MODERATE
1999-11-11,1999-11-18,7 days,-106,LOW
1999-12-11,1999-12-18,7 days,-97,LOW
2000-01-21,2000-01-28,7 days,-101,LOW
2000-02-10,2000-02-17,7 days,-164,MODERATE
2000-04-04,2000-04-12,8 days,-315,INTENSE
2000-04-14,2000-04-21,7 days,-94,LOW
2000-05-15,2000-05-29,14 days,-159,MODERATE
2000-06-06,2000-06-13,7 days,-90,LOW
2000-07-13,2000-07-25,12 days,-335,INTENSE
2000-08-09,2000-08-17,8 days,-235,INTENSE
2000-09-15,2000-09-23,8 days,-196,MODERATE
2000-09-28,2000-10-11,13 days,-183,MODERATE
2000-10-12,2000-10-19,7 days,-100,LOW
2000-10-27,2000-11-03,7 days,-120,LOW
2000-11-04,2000-11-15,11 days,-174,MODERATE
2000-11-25,2000-12-04,9 days,-126,LOW
2001-03-17,2001-03-26,9 days,-165,MODERATE
2001-03-29,2001-04-07,9 days,-434,SUPERINTENSE
2001-04-09,2001-04-27,18 days,-275,INTENSE
2001-05-08,2001-05-15,7 days,-90,LOW
2001-08-15,2001-08-22,7 days,-130,MODERATE
2001-09-21,2001-10-09,18 days,-187,MODERATE
2001-10-19,2001-11-12,24 days,-313,INTENSE
2001-11-22,2001-11-30,8 days,-233,INTENSE
2002-01-31,2002-02-07,7 days,-90,LOW
2002-03-22,2002-03-29,7 days,-114,LOW
2002-04-15,2002-04-25,10 days,-183,MODERATE
2002-05-09,2002-05-17,8 days,-109,LOW
2002-05-21,2002-05-28,7 days,-113,LOW
2002-07-31,2002-08-07,7 days,-114,LOW
2002-08-19,2002-08-26,7 days,-119,LOW
2002-09-02,2002-09-13,11 days,-167,MODERATE
2002-09-29,2002-10-13,14 days,-153,MODERATE
2002-11-18,2002-11-26,8 days,-126,LOW
2002-12-19,2002-12-26,7 days,-90,LOW
2003-04-29,2003-05-06,7 days,-93,LOW
2003-05-08,2003-05-15,7 days,-91,LOW
2003-05-27,2003-06-07,11 days,-162,MODERATE
2003-06-15,2003-06-23,8 days,-162,MODERATE
2003-07-10,2003-07-21,11 days,-125,LOW
2003-08-16,2003-08-24,8 days,-138,MODERATE
2003-10-12,2003-10-19,7 days,-102,LOW
2003-10-27,2003-11-05,9 days,-427,SUPERINTENSE
2003-11-18,2003-11-27,9 days,-488,SUPERINTENSE
2004-01-20,2004-01-27,7 days,-137,MODERATE
2004-02-09,2004-02-16,7 days,-107,LOW
2004-03-08,2004-03-15,7 days,-101,LOW
2004-04-01,2004-04-10,9 days,-148,MODERATE
2004-07-15,2004-08-02,18 days,-208,MODERATE
2004-08-28,2004-09-05,8 days,-128,LOW
2004-11-05,2004-11-17,12 days,-393,SUPERINTENSE
2005-01-05,2005-01-13,8 days,-108,LOW
2005-01-16,2005-01-27,11 days,-107,LOW
2005-02-16,2005-02-23,7 days,-95,LOW
2005-04-03,2005-04-10,7 days,-93,LOW
2005-05-06,2005-05-25,19 days,-302,INTENSE
2005-05-28,2005-06-05,8 days,-126,LOW
2005-06-10,2005-06-18,8 days,-112,LOW
2005-06-21,2005-06-28,7 days,-101,LOW
2005-07-08,2005-07-17,9 days,-113,LOW
2005-08-22,2005-09-05,14 days,-174,MODERATE
2005-09-09,2005-09-17,8 days,-135,MODERATE
2006-04-03,2006-04-19,16 days,-110,LOW
2006-08-18,2006-08-25,7 days,-94,LOW
2006-12-12,2006-12-20,8 days,-206,MODERATE
2008-03-07,2008-03-14,7 days,-99,LOW
2009-07-20,2009-07-27,7 days,-93,LOW
2011-03-09,2011-03-16,7 days,-92,LOW
2011-05-26,2011-06-02,7 days,-93,LOW
2011-08-03,2011-08-11,8 days,-126,LOW
2011-09-24,2011-10-02,8 days,-111,LOW
2011-10-22,2011-10-30,8 days,-160,MODERATE
2012-03-05,2012-03-14,9 days,-149,MODERATE
2012-04-21,2012-04-29,8 days,-125,LOW
2012-07-13,2012-07-21,8 days,-122,LOW
2012-09-29,2012-10-18,19 days,-138,MODERATE
2012-11-12,2012-11-19,7 days,-117,LOW
2013-03-15,2013-03-23,8 days,-131,MODERATE
2013-05-30,2013-06-06,7 days,-134,MODERATE
2013-06-27,2013-07-04,7 days,-110,LOW
2014-02-17,2014-03-05,16 days,-125,LOW
2014-04-10,2014-04-17,7 days,-91,LOW
2014-09-10,2014-09-17,7 days,-95,LOW
2015-01-05,2015-01-12,7 days,-134,MODERATE
2015-03-15,2015-03-23,8 days,-233,INTENSE
2015-05-11,2015-05-18,7 days,-95,LOW
2015-06-06,2015-06-13,7 days,-104,LOW
2015-06-20,2015-06-30,10 days,-207,MODERATE
2015-08-14,2015-08-21,7 days,-93,LOW
2015-08-25,2015-09-02,8 days,-100,LOW
2015-09-06,2015-09-16,10 days,-110,LOW
2015-10-05,2015-10-13,8 days,-124,LOW
2015-11-05,2015-11-12,7 days,-106,LOW
2015-12-18,2015-12-26,8 days,-169,MODERATE
2015-12-29,2016-01-06,8 days,-117,LOW
2016-01-18,2016-01-25,7 days,-95,LOW
2016-03-04,2016-03-12,8 days,-109,LOW
2016-05-06,2016-05-14,8 days,-103,LOW
2016-10-11,2016-10-19,8 days,-114,LOW
2017-05-26,2017-06-02,7 days,-141,MODERATE
2017-09-05,2017-09-13,8 days,-144,MODERATE
2018-08-24,2018-08-31,7 days,-205,MODERATE
2021-08-26,2021-09-02,7 days,-90,LOW
2021-11-02,2021-11-09,7 days,-117,LOW
2022-01-12,2022-01-19,7 days,-100,LOW
2022-03-11,2022-03-19,8 days,-113,LOW
2022-11-05,2022-11-12,7 days,-116,LOW
