Start date,End date,TD,Max ASY-H,classification
1996-03-19,1996-03-26,7 days,140,LOW
1996-04-12,1996-04-19,7 days,183,MODERATE
1996-08-27,1996-09-03,7 days,144,LOW
1996-09-24,1996-10-01,7 days,172,MODERATE
1996-10-20,1996-10-28,8 days,168,LOW
1997-01-08,1997-01-15,7 days,164,LOW
1997-02-06,1997-02-13,7 days,144,LOW
1997-02-25,1997-03-05,8 days,144,LOW
1997-04-09,1997-04-16,7 days,164,LOW
1997-05-13,1997-05-20,7 days,137,LOW
1997-06-07,1997-06-14,7 days,151,LOW
1997-09-29,1997-10-06,7 days,149,LOW
1997-10-22,1997-10-29,7 days,136,LOW
1997-11-05,1997-11-12,7 days,146,LOW
1997-11-20,1997-11-27,7 days,159,LOW
1998-02-15,1998-02-23,8 days,188,MODERATE
1998-03-08,1998-03-15,7 days,255,MODERATE
1998-03-19,1998-03-26,7 days,138,LOW
1998-04-30,1998-05-10,10 days,415,INTENSE
1998-05-27,1998-06-03,7 days,159,LOW
1998-08-04,1998-08-11,7 days,136,LOW
1998-08-25,1998-09-01,7 days,202,MODERATE
1998-09-23,1998-09-30,7 days,395,INTENSE
1998-10-05,1998-10-12,7 days,143,LOW
1998-10-17,1998-10-24,7 days,156,LOW
1998-11-06,1998-11-19,13 days,196,MODERATE
1999-01-11,1999-01-19,8 days,147,LOW
1999-02-16,1999-02-24,8 days,246,MODERATE
1999-02-27,1999-03-06,7 days,167,LOW
1999-03-27,1999-04-03,7 days,157,LOW
1999-04-15,1999-04-22,7 days,138,LOW
1999-09-20,1999-09-28,8 days,157,LOW
1999-10-08,1999-10-15,7 days,140,LOW
1999-10-20,1999-10-27,7 days,214,MODERATE
1999-11-05,1999-11-13,8 days,141,LOW
2000-02-10,2000-02-19,9 days,176,MODERATE
2000-04-04,2000-04-12,8 days,612,SUPERINTENSE
2000-05-22,2000-05-29,7 days,225,MODERATE
2000-06-06,2000-06-13,7 days,133,LOW
2000-07-12,2000-07-21,9 days,380,INTENSE
2000-08-10,2000-08-17,7 days,206,MODERATE
